x, y, t, p, sqrt(u^2+v^2), u, v
0.87132, 0.017198, 10, 3.42585, 0.338466, 0.338457, 0.002504
0.891711, 0.017305, 10, 3.34263, 0.331752, 0.331739, 0.00294912
0.911717, 0.017325, 10, 3.25976, 0.32104, 0.321012, 0.00424588
0.931616, 0.017328, 10, 3.17453, 0.304324, 0.304251, 0.00668137
0.951469, 0.017328, 10, 3.08526, 0.280466, 0.280298, 0.00970641
0.971301, 0.017335, 10, 2.99207, 0.250044, 0.249727, 0.0125991
0.991145, 0.017344, 10, 2.89695, 0.215538, 0.21505, 0.014495
1.01101, 0.017351, 10, 2.80419, 0.181397, 0.180819, 0.0144773
1.0309, 0.017355, 10, 2.71977, 0.153574, 0.153125, 0.0117343
1.05086, 0.017352, 10, 2.65001, 0.138514, 0.138381, 0.00607731
1.07091, 0.017322, 10, 2.59905, 0.14102, 0.141009, -0.00176689
1.09131, 0.017196, 10, 2.56678, 0.162368, 0.162106, -0.00920564
1.1117, 0.017306, 10, 2.5481, 0.202145, 0.201528, -0.0157866
1.13171, 0.017322, 10, 2.53476, 0.247456, 0.246771, -0.018399
1.15161, 0.017327, 10, 2.51758, 0.292058, 0.291527, -0.0175997
1.17147, 0.017329, 10, 2.49101, 0.329804, 0.329489, -0.0144082
1.19131, 0.017334, 10, 2.45278, 0.357474, 0.35733, -0.0101518
1.21115, 0.017345, 10, 2.40338, 0.374603, 0.374555, -0.00598815
1.23101, 0.017352, 10, 2.34481, 0.382296, 0.382287, -0.00253735
1.25091, 0.017357, 10, 2.27942, 0.382624, 0.382624, 6.32615e-06
1.27086, 0.017349, 10, 2.20917, 0.377255, 0.377251, 0.00184161
1.29091, 0.017319, 10, 2.13495, 0.367082, 0.367067, 0.00335746
1.31132, 0.017195, 10, 2.05623, 0.351037, 0.351007, 0.00458817
1.3317, 0.017303, 10, 1.97418, 0.334072, 0.334001, 0.00686393
1.35172, 0.017322, 10, 1.8896, 0.31132, 0.311194, 0.00888034
1.37161, 0.017326, 10, 1.80241, 0.283782, 0.283571, 0.010946
1.39147, 0.01733, 10, 1.71347, 0.253043, 0.252731, 0.012564
1.4113, 0.017334, 10, 1.62568, 0.221719, 0.221335, 0.0130433
1.43115, 0.017341, 10, 1.54319, 0.193658, 0.193297, 0.0118218
1.45101, 0.017352, 10, 1.47071, 0.173153, 0.172936, 0.00866754
1.4709, 0.017356, 10, 1.41211, 0.163736, 0.163689, 0.00395009
1.49085, 0.017352, 10, 1.36893, 0.167296, 0.16729, -0.00147624
1.5109, 0.017322, 10, 1.33976, 0.182948, 0.182829, -0.00659726
1.53131, 0.017198, 10, 1.32069, 0.207552, 0.207315, -0.00992956
1.55169, 0.017307, 10, 1.3064, 0.24035, 0.240039, -0.0122364
1.57171, 0.017324, 10, 1.29215, 0.271909, 0.271627, -0.0123713
1.59162, 0.017327, 10, 1.27364, 0.30024, 0.300036, -0.0110573
1.61146, 0.017333, 10, 1.24869, 0.323379, 0.323255, -0.00893583
1.6313, 0.017339, 10, 1.21648, 0.340224, 0.340162, -0.0064689
1.65115, 0.017346, 10, 1.17716, 0.3506, 0.350578, -0.0039995
1.67101, 0.017353, 10, 1.13136, 0.354715, 0.354712, -0.00166287
1.69091, 0.017355, 10, 1.07978, 0.352808, 0.352808, 0.000530691
1.71085, 0.017347, 10, 1.02285, 0.344891, 0.34488, 0.00273052
1.73091, 0.017318, 10, 0.960555, 0.33068, 0.330641, 0.0050646
1.75131, 0.017192, 10, 0.892256, 0.30858, 0.308498, 0.00711093
1.7717, 0.017304, 10, 0.819566, 0.284116, 0.283941, 0.00996794
1.79173, 0.017322, 10, 0.74478, 0.25454, 0.254265, 0.0118243
1.81162, 0.017326, 10, 0.669827, 0.222809, 0.222443, 0.0127679
1.83146, 0.017331, 10, 0.597597, 0.192271, 0.191868, 0.0124494
1.8513, 0.017335, 10, 0.531734, 0.166366, 0.166027, 0.0106148
1.87115, 0.017342, 10, 0.475778, 0.148346, 0.148161, 0.00740443
1.89101, 0.017352, 10, 0.432155, 0.140615, 0.140579, 0.00319332
1.91091, 0.017355, 10, 0.401439, 0.143874, 0.143868, -0.00130732
1.93086, 0.017349, 10, 0.382298, 0.157375, 0.15728, -0.00546615
1.95092, 0.017321, 10, 0.371591, 0.178504, 0.178297, -0.00858535
1.97132, 0.017196, 10, 0.365553, 0.203817, 0.203566, -0.0101073
1.9917, 0.017306, 10, 0.359855, 0.233297, 0.233047, -0.0107973
2.01173, 0.017327, 10, 0.351663, 0.259377, 0.259177, -0.0101707
2.0316, 0.017342, 10, 0.338489, 0.281342, 0.281214, -0.00850615
2.05145, 0.017346, 10, 0.319144, 0.297941, 0.297869, -0.00655318
2.07119, 0.01735, 10, 0.293258, 0.308388, 0.308361, -0.00410369
2.09079, 0.017312, 10, 0.261342, 0.312712, 0.312704, -0.00232408
2.11017, 0.017122, 10, 0.223809, 0.308773, 0.308773, -2.30032e-05
2.12905, 0.016593, 10, 0.182432, 0.295622, 0.295621, 0.000909943
2.14773, 0.016038, 10, 0.137297, 0.27837, 0.278354, 0.00299184
2.16604, 0.016085, 10, 0.0905871, 0.269019, 0.269004, 0.00285572
2.18365, 0.017318, 10, 0.0429695, 0.272051, 0.271811, 0.0114101
0.017949, 0.381929, 10, 5.59396, 0.389842, 0.389663, 0.011813
0.017676, 0.360971, 10, 5.61076, 0.634063, 0.633549, 0.0255322
0.01733, 0.341027, 10, 5.64191, 0.842964, 0.842245, 0.0348298
0.017196, 0.321434, 10, 5.68991, 1.02242, 1.02115, 0.0509874
0.01716, 0.302083, 10, 5.74627, 1.17021, 1.16807, 0.0706337
0.017081, 0.282755, 10, 5.80678, 1.28323, 1.28116, 0.0727605
0.017125, 0.263393, 10, 5.87588, 1.36898, 1.36808, 0.0496092
0.017208, 0.243979, 10, 5.95568, 1.43646, 1.43635, 0.0175707
