x,y,u,v,sqrt
0.12, 0.12, -0.0136499, 0.0120417, 0.0182023
0.14, 0.12, -0.0189362, 0.0151015, 0.0242206
0.16, 0.12, -0.0251623, 0.0182367, 0.031076
0.18, 0.12, -0.0323386, 0.0214045, 0.0387806
0.2, 0.12, -0.0404438, 0.0245395, 0.0473063
0.22, 0.12, -0.0494157, 0.027547, 0.0565752
0.24, 0.12, -0.0591472, 0.0303027, 0.0664578
0.26, 0.12, -0.0694855, 0.0326598, 0.0767782
0.28, 0.12, -0.0802368, 0.0344609, 0.0873241
0.3, 0.12, -0.0911753, 0.0355524, 0.0978616
0.32, 0.12, -0.102054, 0.0357991, 0.108151
0.34, 0.12, -0.11262, 0.0350963, 0.117962
0.36, 0.12, -0.122623, 0.0333779, 0.127084
0.38, 0.12, -0.131827, 0.0306212, 0.135336
0.4, 0.12, -0.140016, 0.0268475, 0.142567
0.42, 0.12, -0.146998, 0.0221203, 0.148653
0.44, 0.12, -0.152604, 0.0165419, 0.153498
0.46, 0.12, -0.156687, 0.0102497, 0.157022
0.48, 0.12, -0.159121, 0.0034128, 0.159158
0.5, 0.12, -0.159805, -0.00377108, 0.15985
0.52, 0.12, -0.158658, -0.0110784, 0.159045
0.54, 0.12, -0.15563, -0.0182635, 0.156698
0.56, 0.12, -0.150706, -0.0250634, 0.152776
0.58, 0.12, -0.143914, -0.0312062, 0.147259
0.6, 0.12, -0.13534, -0.0364228, 0.140156
0.62, 0.12, -0.125134, -0.0404628, 0.131513
0.64, 0.12, -0.113518, -0.0431141, 0.12143
0.66, 0.12, -0.100792, -0.0442246, 0.110068
0.68, 0.12, -0.087326, -0.0437226, 0.0976601
0.7, 0.12, -0.0735432, -0.0416324, 0.0845095
0.72, 0.12, -0.0598991, -0.0380807, 0.0709792
0.74, 0.12, -0.0468485, -0.0332916, 0.0574727
0.76, 0.12, -0.0348109, -0.0275695, 0.0444058
0.78, 0.12, -0.024139, -0.0212718, 0.0321742
0.8, 0.12, -0.0150931, -0.0147759, 0.0211217
0.82, 0.12, -0.00782629, -0.0084462, 0.0115147
0.84, 0.12, -0.00237964, -0.0026071, 0.00352983
0.86, 0.12, 0.00131293, 0.00247355, 0.0028004
0.88, 0.12, 0.00341258, 0.00658547, 0.00741715
0.9, 0.12, 0.00415989, 0.00955985, 0.0104257
0.92, 0.12, 0.00385924, 0.0112374, 0.0118817
0.94, 0.12, 0.0028673, 0.0114275, 0.0117817
0.96, 0.12, 0.00158935, 0.00986893, 0.00999609
0.98, 0.12, 0.000480974, 0.00620743, 0.00622604
1, 0.12, 0, 0, 0
0, 0.14, 0, 0, 0
0.02, 0.14, -0.000560561, 0.00115821, 0.00128673
0.04, 0.14, -0.00225259, 0.00358113, 0.00423068
0.06, 0.14, -0.00501381, 0.00667361, 0.00834718
0.08, 0.14, -0.00876048, 0.0101377, 0.0133984
0.1, 0.14, -0.0134634, 0.0138444, 0.0193115
0.12, 0.14, -0.0191405, 0.0177373, 0.0260954
0.14, 0.14, -0.0258284, 0.021777, 0.0337837
0.16, 0.14, -0.033556, 0.0259137, 0.0423972
0.18, 0.14, -0.0423237, 0.0300729, 0.0519199
0.2, 0.14, -0.0520899, 0.034147, 0.0622846
0.22, 0.14, -0.0627638, 0.0379931, 0.0733674
0.24, 0.14, -0.0742042, 0.0414382, 0.0849905
0.26, 0.14, -0.0862233, 0.0442914, 0.096934
0.28, 0.14, -0.0985968, 0.0463609, 0.108953
0.3, 0.14, -0.111076, 0.0474714, 0.120795
0.32, 0.14, -0.123403, 0.04748, 0.132222
0.34, 0.14, -0.135321, 0.0462862, 0.143018
0.36, 0.14, -0.146589, 0.0438378, 0.153003
0.38, 0.14, -0.156982, 0.0401317, 0.162031
0.4, 0.14, -0.1663, 0.0352112, 0.169986
0.42, 0.14, -0.174361, 0.0291614, 0.176783
0.44, 0.14, -0.181005, 0.0221051, 0.18235
0.46, 0.14, -0.186088, 0.014198, 0.186628
0.48, 0.14, -0.189479, 0.00562698, 0.189562
0.5, 0.14, -0.191062, -0.00339229, 0.191092
0.52, 0.14, -0.190735, -0.0126156, 0.191152
0.54, 0.14, -0.188411, -0.0217712, 0.189664
0.56, 0.14, -0.184027, -0.0305621, 0.186548
0.58, 0.14, -0.177555, -0.0386711, 0.181718
0.6, 0.14, -0.169012, -0.0457705, 0.1751
0.62, 0.14, -0.15848, -0.0515378, 0.166649
0.64, 0.14, -0.146121, -0.0556783, 0.156369
0.66, 0.14, -0.132191, -0.057953, 0.144337
0.68, 0.14, -0.117048, -0.0582086, 0.130723
0.7, 0.14, -0.101142, -0.0564059, 0.115807
0.72, 0.14, -0.0849915, -0.0526378, 0.0999715
0.74, 0.14, -0.0691526, -0.0471329, 0.0836874
0.76, 0.14, -0.054168, -0.0402415, 0.06748
0.78, 0.14, -0.0405218, -0.0324039, 0.0518848
0.8, 0.14, -0.0285977, -0.0241073, 0.0374031
0.82, 0.14, -0.0186507, -0.0158402, 0.0244696
0.84, 0.14, -0.0107954, -0.00805152, 0.0134673
0.86, 0.14, -0.00500967, -0.00112424, 0.00513427
0.88, 0.14, -0.0011488, 0.00463269, 0.004773
0.9, 0.14, 0.0010329, 0.0089706, 0.00902987
0.92, 0.14, 0.00186033, 0.0116675, 0.0118149
0.94, 0.14, 0.00171937, 0.0124811, 0.012599
0.96, 0.14, 0.00104549, 0.0111007, 0.0111498
0.98, 0.14, 0.000315497, 0.007113, 0.00711999
1, 0.14, 0, 0, 0
0, 0.16, 0, 0, 0
0.02, 0.16, -0.000923745, 0.00272854, 0.00288067
0.04, 0.16, -0.0033695, 0.00646749, 0.0072926
0.06, 0.16, -0.00713581, 0.0106796, 0.0128442
0.08, 0.16, -0.0120375, 0.0151654, 0.0193621
0.1, 0.16, -0.0179992, 0.0198792, 0.026817
0.12, 0.16, -0.0250241, 0.0248091, 0.0352377
0.14, 0.16, -0.0331444, 0.0299219, 0.0446528
0.16, 0.16, -0.0423816, 0.0351449, 0.0550578
0.18, 0.16, -0.05272, 0.040362, 0.0663964
0.2, 0.16, -0.0640931, 0.0454143, 0.0785518
0.22, 0.16, -0.0763789, 0.0501046, 0.0913466
0.24, 0.16, -0.0894028, 0.0542102, 0.104554
0.26, 0.16, -0.102947, 0.0574999, 0.117916
0.28, 0.16, -0.116763, 0.0597555, 0.131166
0.3, 0.16, -0.13059, 0.0607907, 0.144046
0.32, 0.16, -0.144164, 0.0604646, 0.15633
0.34, 0.16, -0.157234, 0.0586895, 0.16783
0.36, 0.16, -0.169569, 0.0554324, 0.178399
0.38, 0.16, -0.180958, 0.0507125, 0.18793
0.4, 0.16, -0.191218, 0.0445951, 0.19635
0.42, 0.16, -0.200185, 0.037186, 0.203609
0.44, 0.16, -0.207714, 0.0286256, 0.209678
0.46, 0.16, -0.213679, 0.0190844, 0.21453
0.48, 0.16, -0.217963, 0.00876081, 0.218139
0.5, 0.16, -0.220457, -0.00212035, 0.220467
0.52, 0.16, -0.221053, -0.0133064, 0.221453
0.54, 0.16, -0.219647, -0.0245149, 0.221011
0.56, 0.16, -0.216137, -0.0354317, 0.219022
0.58, 0.16, -0.210432, -0.0457106, 0.215339
0.6, 0.16, -0.202466, -0.0549777, 0.209797
0.62, 0.16, -0.192221, -0.0628431, 0.202233
0.64, 0.16, -0.179756, -0.068922, 0.192516
0.66, 0.16, -0.16523, -0.0728665, 0.180583
0.68, 0.16, -0.148929, -0.0744063, 0.166482
0.7, 0.16, -0.131278, -0.0733917, 0.150401
0.72, 0.16, -0.112828, -0.0698324, 0.13269
0.74, 0.16, -0.0942223, -0.0639188, 0.113857
0.76, 0.16, -0.0761437, -0.0560193, 0.0945306
